Spicules,Height[i],Height (Mm)
195,180,2.8761029999999996
185,183,2.9240380499999996
169,186,2.9719730999999996
158,189,3.0199081499999996
160,192,3.0678431999999995
150,195,3.11577825
147,198,3.1637133
149,201,3.21164835
154,204,3.2595834
148,207,3.30751845
146,210,3.3554535
142,213,3.40338855
147,216,3.4513236
138,219,3.49925865
144,222,3.5471937
146,225,3.5951287499999998
155,228,3.6430637999999997
163,231,3.6909988499999997
170,234,3.7389338999999997
159,237,3.7868689499999997
153,240,3.8348039999999997
147,243,3.8827390499999996
154,246,3.9306740999999996
161,249,3.9786091499999996
154,252,4.0265442
171,255,4.0744792499999996
171,258,4.1224143
169,261,4.1703493499999995
171,264,4.2182844
181,267,4.2662194499999995
184,270,4.3141545
197,273,4.362089549999999
191,276,4.4100246
189,279,4.457959649999999
215,282,4.5058947
215,285,4.553829749999999
235,288,4.6017648
231,291,4.649699849999999
230,294,4.6976349
230,297,4.745569949999999
238,300,4.793505
253,303,4.841440049999999
256,306,4.8893751
263,309,4.93731015
280,312,4.9852452
275,315,5.03318025
277,318,5.0811153
299,321,5.12905035
314,324,5.1769853999999995
320,327,5.22492045
344,330,5.2728554999999995
361,333,5.32079055
377,336,5.368725599999999
404,339,5.41666065
409,342,5.464595699999999
422,345,5.51253075
413,348,5.560465799999999
408,351,5.60840085
382,354,5.656335899999999
395,357,5.70427095
417,360,5.752205999999999
439,363,5.80014105
420,366,5.848076099999999
436,369,5.89601115
414,372,5.943946199999999
410,375,5.99188125
432,378,6.039816299999999
442,381,6.08775135
436,384,6.135686399999999
447,387,6.1836214499999995
441,390,6.2315565
439,393,6.2794915499999995
427,396,6.3274266
423,399,6.375361649999999
414,402,6.4232967
421,405,6.471231749999999
433,408,6.5191668
432,411,6.567101849999999
422,414,6.6150369
409,417,6.662971949999999
410,420,6.710907
410,423,6.758842049999999
409,426,6.8067771
414,429,6.854712149999999
419,432,6.9026472
428,435,6.950582249999999
444,438,6.9985173
435,441,7.046452349999999
434,444,7.0943874
459,447,7.142322449999999
454,450,7.1902574999999995
461,453,7.238192549999999
461,456,7.2861275999999995
453,459,7.334062649999999
480,462,7.381997699999999
450,465,7.42993275
433,468,7.477867799999999
432,471,7.52580285
443,474,7.573737899999999
460,477,7.62167295
449,480,7.669607999999999
464,483,7.71754305
456,486,7.765478099999999
449,489,7.81341315
429,492,7.861348199999999
443,495,7.90928325
455,498,7.957218299999999
437,501,8.005153349999999
448,504,8.0530884
449,507,8.10102345
439,510,8.148958499999999
447,513,8.196893549999999
451,516,8.2448286
475,519,8.29276365
465,522,8.340698699999999
479,525,8.388633749999999
486,528,8.4365688
481,531,8.48450385
491,534,8.532438899999999
524,537,8.580373949999998
523,540,8.628309
534,543,8.67624405
546,546,8.724179099999999
551,549,8.77211415
579,552,8.8200492
578,555,8.86798425
578,558,8.915919299999999
575,561,8.96385435
581,564,9.0117894
596,567,9.05972445
611,570,9.107659499999999
616,573,9.15559455
613,576,9.2035296
618,579,9.251464649999999
617,582,9.299399699999999
656,585,9.34733475
634,588,9.3952698
635,591,9.443204849999999
669,594,9.491139899999999
675,597,9.53907495
672,600,9.58701
688,603,9.634945049999999
670,606,9.682880099999998
686,609,9.73081515
710,612,9.7787502
739,615,9.826685249999999
741,618,9.8746203
735,621,9.92255535
755,624,9.9704904
766,627,10.018425449999999
754,630,10.0663605
742,633,10.11429555
764,636,10.1622306
769,639,10.210165649999999
758,642,10.2581007
759,645,10.30603575
760,648,10.353970799999999
756,651,10.401905849999999
740,654,10.4498409
737,657,10.49777595
733,660,10.545710999999999
734,663,10.593646049999998
732,666,10.6415811
726,669,10.68951615
709,672,10.737451199999999
694,675,10.785386249999998
671,678,10.8333213
668,681,10.88125635
650,684,10.929191399999999
642,687,10.977126449999998
632,690,11.0250615
623,693,11.07299655
611,696,11.120931599999999
602,699,11.16886665
598,702,11.2168017
583,705,11.264736749999999
549,708,11.312671799999999
528,711,11.36060685
517,714,11.4085419
493,717,11.456476949999999
475,720,11.504411999999999
460,723,11.55234705
448,726,11.6002821
442,729,11.648217149999999
434,732,11.696152199999998
424,735,11.74408725
411,738,11.7920223
395,741,11.839957349999999
379,744,11.887892399999998
368,747,11.93582745
357,750,11.9837625
353,753,12.031697549999999
344,756,12.079632599999998
331,759,12.12756765
312,762,12.1755027
317,765,12.223437749999999
320,768,12.271372799999998
312,771,12.31930785
313,774,12.367242899999999
295,777,12.415177949999999
279,780,12.463113
264,783,12.51104805
262,786,12.558983099999999
242,789,12.606918149999998
231,792,12.6548532
216,795,12.70278825
210,798,12.750723299999999
200,801,12.798658349999998
194,804,12.8465934
191,807,12.89452845
190,810,12.942463499999999
174,813,12.990398549999998
170,816,13.0383336
170,819,13.08626865
170,822,13.134203699999999
176,825,13.182138749999998
179,828,13.2300738
184,831,13.278008849999999
188,834,13.325943899999999
190,837,13.373878949999998
179,840,13.421814
182,843,13.469749049999999
180,846,13.517684099999999
170,849,13.56561915
156,852,13.6135542
153,855,13.661489249999999
148,858,13.709424299999998
137,861,13.75735935
129,864,13.8052944
119,867,13.853229449999999
113,870,13.901164499999998
114,873,13.94909955
106,876,13.9970346
109,879,14.044969649999999
106,882,14.092904699999998
95,885,14.14083975
96,888,14.1887748
91,891,14.236709849999999
91,894,14.284644899999998
93,897,14.33257995
93,900,14.380514999999999
91,903,14.428450049999999
84,906,14.476385099999998
74,909,14.52432015
69,912,14.572255199999999
64,915,14.620190249999998
69,918,14.668125299999998
71,921,14.71606035
67,924,14.763995399999999
69,927,14.811930449999998
69,930,14.8598655
69,933,14.90780055
68,936,14.955735599999999
69,939,15.003670649999998
66,942,15.0516057
65,945,15.09954075
59,948,15.147475799999999
62,951,15.195410849999998
57,954,15.2433459
57,957,15.291280949999999
53,960,15.339215999999999
51,963,15.387151049999998
52,966,15.4350861
48,969,15.483021149999999
47,972,15.530956199999999
49,975,15.578891249999998
51,978,15.6268263
45,981,15.674761349999999
49,984,15.722696399999998
44,987,15.770631449999998
43,990,15.8185665
40,993,15.866501549999999
38,996,15.914436599999998
39,999,15.96237165
45,1002,16.010306699999997
41,1005,16.05824175
39,1008,16.1061768
36,1011,16.15411185
33,1014,16.2020469
31,1017,16.24998195
36,1020,16.297916999999998
29,1023,16.345852049999998
31,1026,16.393787099999997
30,1029,16.44172215
30,1032,16.4896572
28,1035,16.53759225
23,1038,16.5855273
16,1041,16.63346235
15,1044,16.681397399999998
16,1047,16.729332449999998
17,1050,16.777267499999997
16,1053,16.82520255
13,1056,16.8731376
11,1059,16.92107265
11,1062,16.9690077
11,1065,17.01694275
12,1068,17.064877799999998
14,1071,17.112812849999997
14,1074,17.160747899999997
14,1077,17.20868295
13,1080,17.256618
12,1083,17.30455305
14,1086,17.3524881
17,1089,17.400423149999998
11,1092,17.448358199999998
10,1095,17.496293249999997
9,1098,17.5442283
6,1101,17.59216335
4,1104,17.6400984
4,1107,17.68803345
3,1110,17.7359685
2,1113,17.783903549999998
2,1116,17.831838599999998
2,1119,17.879773649999997
2,1122,17.9277087
2,1125,17.97564375
2,1128,18.0235788
2,1131,18.07151385
2,1134,18.1194489
2,1137,18.167383949999998
2,1140,18.215318999999997
3,1143,18.263254049999997
4,1146,18.3111891
4,1149,18.35912415
4,1152,18.4070592
5,1155,18.45499425
5,1158,18.502929299999998
5,1161,18.550864349999998
6,1164,18.598799399999997
4,1167,18.64673445
4,1170,18.6946695
7,1173,18.74260455
5,1176,18.7905396
2,1179,18.83847465
1,1182,18.886409699999998
1,1185,18.934344749999998
2,1188,18.982279799999997
3,1191,19.03021485
2,1194,19.0781499
1,1197,19.12608495
1,1200,19.17402
1,1203,19.22195505
1,1206,19.269890099999998
1,1209,19.317825149999997
1,1212,19.365760199999997
1,1215,19.41369525
1,1218,19.4616303
1,1221,19.50956535
2,1224,19.5575004
2,1227,19.605435449999998
2,1230,19.653370499999998
3,1233,19.701305549999997
3,1236,19.7492406
1,1239,19.79717565
0,1242,19.8451107
