Spicules,Height[i],Height (Mm)
1638,426,6.8067771
1646,429,6.854712149999999
1667,432,6.9026472
1620,435,6.950582249999999
1591,438,6.9985173
1604,441,7.046452349999999
1584,444,7.0943874
1576,447,7.142322449999999
1539,450,7.1902574999999995
1504,453,7.238192549999999
1497,456,7.2861275999999995
1501,459,7.334062649999999
1458,462,7.381997699999999
1446,465,7.42993275
1412,468,7.477867799999999
1419,471,7.52580285
1385,474,7.573737899999999
1386,477,7.62167295
1361,480,7.669607999999999
1338,483,7.71754305
1370,486,7.765478099999999
1319,489,7.81341315
1291,492,7.861348199999999
1310,495,7.90928325
1305,498,7.957218299999999
1276,501,8.005153349999999
1265,504,8.0530884
1240,507,8.10102345
1221,510,8.148958499999999
1216,513,8.196893549999999
1193,516,8.2448286
1186,519,8.29276365
1168,522,8.340698699999999
1142,525,8.388633749999999
1149,528,8.4365688
1113,531,8.48450385
1071,534,8.532438899999999
1012,537,8.580373949999998
977,540,8.628309
948,543,8.67624405
948,546,8.724179099999999
923,549,8.77211415
898,552,8.8200492
878,555,8.86798425
843,558,8.915919299999999
829,561,8.96385435
817,564,9.0117894
820,567,9.05972445
791,570,9.107659499999999
783,573,9.15559455
770,576,9.2035296
740,579,9.251464649999999
729,582,9.299399699999999
741,585,9.34733475
704,588,9.3952698
695,591,9.443204849999999
705,594,9.491139899999999
703,597,9.53907495
679,600,9.58701
668,603,9.634945049999999
654,606,9.682880099999998
645,609,9.73081515
623,612,9.7787502
600,615,9.826685249999999
590,618,9.8746203
598,621,9.92255535
593,624,9.9704904
606,627,10.018425449999999
563,630,10.0663605
542,633,10.11429555
538,636,10.1622306
536,639,10.210165649999999
540,642,10.2581007
530,645,10.30603575
523,648,10.353970799999999
513,651,10.401905849999999
495,654,10.4498409
491,657,10.49777595
488,660,10.545710999999999
484,663,10.593646049999998
468,666,10.6415811
438,669,10.68951615
432,672,10.737451199999999
438,675,10.785386249999998
413,678,10.8333213
416,681,10.88125635
405,684,10.929191399999999
386,687,10.977126449999998
369,690,11.0250615
358,693,11.07299655
350,696,11.120931599999999
341,699,11.16886665
333,702,11.2168017
318,705,11.264736749999999
312,708,11.312671799999999
306,711,11.36060685
312,714,11.4085419
312,717,11.456476949999999
296,720,11.504411999999999
294,723,11.55234705
291,726,11.6002821
273,729,11.648217149999999
274,732,11.696152199999998
266,735,11.74408725
252,738,11.7920223
244,741,11.839957349999999
252,744,11.887892399999998
241,747,11.93582745
242,750,11.9837625
241,753,12.031697549999999
233,756,12.079632599999998
234,759,12.12756765
245,762,12.1755027
236,765,12.223437749999999
234,768,12.271372799999998
227,771,12.31930785
213,774,12.367242899999999
216,777,12.415177949999999
224,780,12.463113
222,783,12.51104805
221,786,12.558983099999999
221,789,12.606918149999998
206,792,12.6548532
199,795,12.70278825
187,798,12.750723299999999
178,801,12.798658349999998
171,804,12.8465934
168,807,12.89452845
162,810,12.942463499999999
164,813,12.990398549999998
150,816,13.0383336
144,819,13.08626865
142,822,13.134203699999999
149,825,13.182138749999998
150,828,13.2300738
151,831,13.278008849999999
149,834,13.325943899999999
145,837,13.373878949999998
152,840,13.421814
148,843,13.469749049999999
144,846,13.517684099999999
145,849,13.56561915
147,852,13.6135542
139,855,13.661489249999999
129,858,13.709424299999998
128,861,13.75735935
123,864,13.8052944
117,867,13.853229449999999
113,870,13.901164499999998
112,873,13.94909955
116,876,13.9970346
107,879,14.044969649999999
112,882,14.092904699999998
107,885,14.14083975
103,888,14.1887748
96,891,14.236709849999999
93,894,14.284644899999998
89,897,14.33257995
89,900,14.380514999999999
85,903,14.428450049999999
83,906,14.476385099999998
68,909,14.52432015
61,912,14.572255199999999
64,915,14.620190249999998
69,918,14.668125299999998
65,921,14.71606035
61,924,14.763995399999999
60,927,14.811930449999998
55,930,14.8598655
52,933,14.90780055
50,936,14.955735599999999
45,939,15.003670649999998
43,942,15.0516057
42,945,15.09954075
44,948,15.147475799999999
45,951,15.195410849999998
48,954,15.2433459
49,957,15.291280949999999
46,960,15.339215999999999
49,963,15.387151049999998
43,966,15.4350861
41,969,15.483021149999999
42,972,15.530956199999999
42,975,15.578891249999998
42,978,15.6268263
47,981,15.674761349999999
46,984,15.722696399999998
45,987,15.770631449999998
47,990,15.8185665
41,993,15.866501549999999
41,996,15.914436599999998
35,999,15.96237165
34,1002,16.010306699999997
32,1005,16.05824175
32,1008,16.1061768
32,1011,16.15411185
31,1014,16.2020469
29,1017,16.24998195
26,1020,16.297916999999998
25,1023,16.345852049999998
30,1026,16.393787099999997
28,1029,16.44172215
28,1032,16.4896572
27,1035,16.53759225
27,1038,16.5855273
25,1041,16.63346235
25,1044,16.681397399999998
22,1047,16.729332449999998
21,1050,16.777267499999997
20,1053,16.82520255
21,1056,16.8731376
22,1059,16.92107265
22,1062,16.9690077
23,1065,17.01694275
21,1068,17.064877799999998
23,1071,17.112812849999997
23,1074,17.160747899999997
19,1077,17.20868295
18,1080,17.256618
20,1083,17.30455305
13,1086,17.3524881
10,1089,17.400423149999998
11,1092,17.448358199999998
11,1095,17.496293249999997
5,1098,17.5442283
3,1101,17.59216335
1,1104,17.6400984
3,1107,17.68803345
2,1110,17.7359685
0,1113,17.783903549999998
