Spicules,Height[i],Height (Mm)
1698,180,2.8761029999999996
1665,183,2.9240380499999996
1674,186,2.9719730999999996
1698,189,3.0199081499999996
1690,192,3.0678431999999995
1665,195,3.11577825
1681,198,3.1637133
1673,201,3.21164835
1692,204,3.2595834
1649,207,3.30751845
1722,210,3.3554535
1707,213,3.40338855
1695,216,3.4513236
1660,219,3.49925865
1677,222,3.5471937
1613,225,3.5951287499999998
1596,228,3.6430637999999997
1609,231,3.6909988499999997
1605,234,3.7389338999999997
1569,237,3.7868689499999997
1553,240,3.8348039999999997
1535,243,3.8827390499999996
1544,246,3.9306740999999996
1492,249,3.9786091499999996
1521,252,4.0265442
1514,255,4.0744792499999996
1515,258,4.1224143
1483,261,4.1703493499999995
1456,264,4.2182844
1439,267,4.2662194499999995
1399,270,4.3141545
1384,273,4.362089549999999
1423,276,4.4100246
1384,279,4.457959649999999
1376,282,4.5058947
1367,285,4.553829749999999
1351,288,4.6017648
1345,291,4.649699849999999
1342,294,4.6976349
1302,297,4.745569949999999
1278,300,4.793505
1267,303,4.841440049999999
1265,306,4.8893751
1232,309,4.93731015
1249,312,4.9852452
1247,315,5.03318025
1237,318,5.0811153
1182,321,5.12905035
1138,324,5.1769853999999995
1122,327,5.22492045
1123,330,5.2728554999999995
1117,333,5.32079055
1122,336,5.368725599999999
1105,339,5.41666065
1085,342,5.464595699999999
1061,345,5.51253075
1050,348,5.560465799999999
1020,351,5.60840085
1004,354,5.656335899999999
964,357,5.70427095
953,360,5.752205999999999
888,363,5.80014105
889,366,5.848076099999999
871,369,5.89601115
854,372,5.943946199999999
836,375,5.99188125
852,378,6.039816299999999
813,381,6.08775135
789,384,6.135686399999999
764,387,6.1836214499999995
765,390,6.2315565
762,393,6.2794915499999995
761,396,6.3274266
769,399,6.375361649999999
715,402,6.4232967
696,405,6.471231749999999
683,408,6.5191668
666,411,6.567101849999999
659,414,6.6150369
641,417,6.662971949999999
628,420,6.710907
594,423,6.758842049999999
563,426,6.8067771
555,429,6.854712149999999
535,432,6.9026472
532,435,6.950582249999999
527,438,6.9985173
488,441,7.046452349999999
498,444,7.0943874
485,447,7.142322449999999
487,450,7.1902574999999995
471,453,7.238192549999999
477,456,7.2861275999999995
453,459,7.334062649999999
458,462,7.381997699999999
431,465,7.42993275
411,468,7.477867799999999
430,471,7.52580285
418,474,7.573737899999999
428,477,7.62167295
428,480,7.669607999999999
438,483,7.71754305
413,486,7.765478099999999
399,489,7.81341315
395,492,7.861348199999999
392,495,7.90928325
373,498,7.957218299999999
385,501,8.005153349999999
355,504,8.0530884
340,507,8.10102345
337,510,8.148958499999999
327,513,8.196893549999999
315,516,8.2448286
319,519,8.29276365
335,522,8.340698699999999
318,525,8.388633749999999
340,528,8.4365688
336,531,8.48450385
325,534,8.532438899999999
322,537,8.580373949999998
299,540,8.628309
321,543,8.67624405
315,546,8.724179099999999
270,549,8.77211415
279,552,8.8200492
260,555,8.86798425
259,558,8.915919299999999
271,561,8.96385435
276,564,9.0117894
255,567,9.05972445
267,570,9.107659499999999
285,573,9.15559455
276,576,9.2035296
281,579,9.251464649999999
285,582,9.299399699999999
290,585,9.34733475
291,588,9.3952698
292,591,9.443204849999999
296,594,9.491139899999999
286,597,9.53907495
289,600,9.58701
277,603,9.634945049999999
263,606,9.682880099999998
277,609,9.73081515
281,612,9.7787502
276,615,9.826685249999999
265,618,9.8746203
278,621,9.92255535
251,624,9.9704904
249,627,10.018425449999999
249,630,10.0663605
238,633,10.11429555
240,636,10.1622306
233,639,10.210165649999999
216,642,10.2581007
224,645,10.30603575
209,648,10.353970799999999
201,651,10.401905849999999
209,654,10.4498409
224,657,10.49777595
217,660,10.545710999999999
217,663,10.593646049999998
208,666,10.6415811
219,669,10.68951615
214,672,10.737451199999999
209,675,10.785386249999998
212,678,10.8333213
210,681,10.88125635
211,684,10.929191399999999
225,687,10.977126449999998
213,690,11.0250615
217,693,11.07299655
209,696,11.120931599999999
207,699,11.16886665
213,702,11.2168017
205,705,11.264736749999999
209,708,11.312671799999999
197,711,11.36060685
187,714,11.4085419
197,717,11.456476949999999
189,720,11.504411999999999
179,723,11.55234705
165,726,11.6002821
165,729,11.648217149999999
167,732,11.696152199999998
142,735,11.74408725
139,738,11.7920223
134,741,11.839957349999999
137,744,11.887892399999998
128,747,11.93582745
128,750,11.9837625
118,753,12.031697549999999
124,756,12.079632599999998
123,759,12.12756765
124,762,12.1755027
109,765,12.223437749999999
114,768,12.271372799999998
111,771,12.31930785
121,774,12.367242899999999
121,777,12.415177949999999
118,780,12.463113
100,783,12.51104805
96,786,12.558983099999999
92,789,12.606918149999998
95,792,12.6548532
82,795,12.70278825
88,798,12.750723299999999
83,801,12.798658349999998
88,804,12.8465934
77,807,12.89452845
77,810,12.942463499999999
76,813,12.990398549999998
78,816,13.0383336
77,819,13.08626865
79,822,13.134203699999999
69,825,13.182138749999998
68,828,13.2300738
66,831,13.278008849999999
64,834,13.325943899999999
55,837,13.373878949999998
56,840,13.421814
52,843,13.469749049999999
48,846,13.517684099999999
39,849,13.56561915
45,852,13.6135542
42,855,13.661489249999999
35,858,13.709424299999998
35,861,13.75735935
36,864,13.8052944
33,867,13.853229449999999
34,870,13.901164499999998
33,873,13.94909955
29,876,13.9970346
31,879,14.044969649999999
28,882,14.092904699999998
30,885,14.14083975
32,888,14.1887748
36,891,14.236709849999999
29,894,14.284644899999998
25,897,14.33257995
24,900,14.380514999999999
20,903,14.428450049999999
19,906,14.476385099999998
22,909,14.52432015
17,912,14.572255199999999
21,915,14.620190249999998
15,918,14.668125299999998
13,921,14.71606035
12,924,14.763995399999999
9,927,14.811930449999998
9,930,14.8598655
9,933,14.90780055
8,936,14.955735599999999
8,939,15.003670649999998
8,942,15.0516057
9,945,15.09954075
8,948,15.147475799999999
6,951,15.195410849999998
6,954,15.2433459
5,957,15.291280949999999
3,960,15.339215999999999
3,963,15.387151049999998
2,966,15.4350861
3,969,15.483021149999999
2,972,15.530956199999999
2,975,15.578891249999998
3,978,15.6268263
2,981,15.674761349999999
2,984,15.722696399999998
1,987,15.770631449999998
2,990,15.8185665
0,993,15.866501549999999
