Spicules,Height[i],Height (Mm)
669,180,2.8761029999999996
667,183,2.9240380499999996
651,186,2.9719730999999996
666,189,3.0199081499999996
654,192,3.0678431999999995
650,195,3.11577825
667,198,3.1637133
676,201,3.21164835
687,204,3.2595834
697,207,3.30751845
706,210,3.3554535
697,213,3.40338855
713,216,3.4513236
736,219,3.49925865
772,222,3.5471937
800,225,3.5951287499999998
830,228,3.6430637999999997
829,231,3.6909988499999997
844,234,3.7389338999999997
919,237,3.7868689499999997
943,240,3.8348039999999997
961,243,3.8827390499999996
962,246,3.9306740999999996
990,249,3.9786091499999996
1017,252,4.0265442
1047,255,4.0744792499999996
1069,258,4.1224143
1083,261,4.1703493499999995
1108,264,4.2182844
1126,267,4.2662194499999995
1143,270,4.3141545
1144,273,4.362089549999999
1158,276,4.4100246
1224,279,4.457959649999999
1229,282,4.5058947
1272,285,4.553829749999999
1267,288,4.6017648
1275,291,4.649699849999999
1275,294,4.6976349
1266,297,4.745569949999999
1292,300,4.793505
1275,303,4.841440049999999
1286,306,4.8893751
1277,309,4.93731015
1266,312,4.9852452
1286,315,5.03318025
1291,318,5.0811153
1285,321,5.12905035
1274,324,5.1769853999999995
1259,327,5.22492045
1264,330,5.2728554999999995
1262,333,5.32079055
1257,336,5.368725599999999
1258,339,5.41666065
1280,342,5.464595699999999
1311,345,5.51253075
1254,348,5.560465799999999
1236,351,5.60840085
1220,354,5.656335899999999
1206,357,5.70427095
1181,360,5.752205999999999
1234,363,5.80014105
1160,366,5.848076099999999
1138,369,5.89601115
1164,372,5.943946199999999
1169,375,5.99188125
1156,378,6.039816299999999
1148,381,6.08775135
1160,384,6.135686399999999
1162,387,6.1836214499999995
1141,390,6.2315565
1141,393,6.2794915499999995
1135,396,6.3274266
1145,399,6.375361649999999
1122,402,6.4232967
1136,405,6.471231749999999
1115,408,6.5191668
1094,411,6.567101849999999
1062,414,6.6150369
1063,417,6.662971949999999
1046,420,6.710907
1036,423,6.758842049999999
1040,426,6.8067771
1048,429,6.854712149999999
995,432,6.9026472
1033,435,6.950582249999999
1050,438,6.9985173
1068,441,7.046452349999999
1049,444,7.0943874
1037,447,7.142322449999999
1077,450,7.1902574999999995
1103,453,7.238192549999999
1105,456,7.2861275999999995
1088,459,7.334062649999999
1101,462,7.381997699999999
1087,465,7.42993275
1058,468,7.477867799999999
1057,471,7.52580285
1081,474,7.573737899999999
1078,477,7.62167295
1074,480,7.669607999999999
1073,483,7.71754305
1081,486,7.765478099999999
1064,489,7.81341315
1086,492,7.861348199999999
1066,495,7.90928325
1084,498,7.957218299999999
1105,501,8.005153349999999
1108,504,8.0530884
1130,507,8.10102345
1141,510,8.148958499999999
1134,513,8.196893549999999
1105,516,8.2448286
1094,519,8.29276365
1077,522,8.340698699999999
1077,525,8.388633749999999
1065,528,8.4365688
1067,531,8.48450385
1062,534,8.532438899999999
1048,537,8.580373949999998
1045,540,8.628309
1030,543,8.67624405
1049,546,8.724179099999999
1065,549,8.77211415
1060,552,8.8200492
1058,555,8.86798425
1058,558,8.915919299999999
1049,561,8.96385435
1046,564,9.0117894
1029,567,9.05972445
993,570,9.107659499999999
965,573,9.15559455
957,576,9.2035296
940,579,9.251464649999999
928,582,9.299399699999999
897,585,9.34733475
881,588,9.3952698
854,591,9.443204849999999
819,594,9.491139899999999
790,597,9.53907495
778,600,9.58701
777,603,9.634945049999999
734,606,9.682880099999998
713,609,9.73081515
690,612,9.7787502
665,615,9.826685249999999
641,618,9.8746203
632,621,9.92255535
617,624,9.9704904
588,627,10.018425449999999
560,630,10.0663605
532,633,10.11429555
534,636,10.1622306
526,639,10.210165649999999
511,642,10.2581007
492,645,10.30603575
488,648,10.353970799999999
475,651,10.401905849999999
473,654,10.4498409
461,657,10.49777595
455,660,10.545710999999999
441,663,10.593646049999998
427,666,10.6415811
416,669,10.68951615
420,672,10.737451199999999
401,675,10.785386249999998
389,678,10.8333213
384,681,10.88125635
378,684,10.929191399999999
382,687,10.977126449999998
366,690,11.0250615
352,693,11.07299655
344,696,11.120931599999999
330,699,11.16886665
322,702,11.2168017
312,705,11.264736749999999
323,708,11.312671799999999
317,711,11.36060685
302,714,11.4085419
281,717,11.456476949999999
273,720,11.504411999999999
269,723,11.55234705
278,726,11.6002821
266,729,11.648217149999999
260,732,11.696152199999998
257,735,11.74408725
245,738,11.7920223
234,741,11.839957349999999
225,744,11.887892399999998
223,747,11.93582745
224,750,11.9837625
211,753,12.031697549999999
218,756,12.079632599999998
213,759,12.12756765
198,762,12.1755027
183,765,12.223437749999999
185,768,12.271372799999998
178,771,12.31930785
177,774,12.367242899999999
173,777,12.415177949999999
165,780,12.463113
156,783,12.51104805
155,786,12.558983099999999
152,789,12.606918149999998
138,792,12.6548532
133,795,12.70278825
131,798,12.750723299999999
122,801,12.798658349999998
122,804,12.8465934
